fid,ID_TRC,CLASSE,SENS_CIR,NOM_VOIE,POSITION_R,ID_CYCL,slope_edit,length,umbrell_id,slope,Q85,NBLane,ADT,centerline,Estmt,DJMA_d,CL_d,CL_x,DIVIDED,lts,lts_c,lts_w,lts_c_w,lts_negD,Reach,BLanW,TYPE_VOIE,TYPE_VOIE2,ParkW,contraReac,contraLanW,contraParW,Reach_negD,BLanW_negD,ParkW_negD,asymmetric,GESTION_R,ed_typvoi,ed_typvoi2,drvewayVis,Narrow1Way,PROTEGE_4S,NBR_VOIE,LOCALISATI,LOCALIS_2,cn_Buff_R,cn_Buff_L,Buffer_R,Buffer_L,ID_TRC_int
67,1041163,7,1,Papineau,5,0,-0.008128176,458.943,66,-0.008128176,50,4,15407,0,15407.672,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041163
68,1041165,0,1,Saint-Denis,5,0,-0.014347568,47.076,67,-0.014347568,34,1,1176,0,1176.362,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041165
69,1041166,7,1,Papineau,5,0,-0.005502666,70.882,68,-0.005502666,50,3,12236,0,12236.556,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041166
70,1080644,0,1,42e,5,0,-0.000664416,180.382,69,-0.000664416,34,1,957,0,957.297,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080644
71,1260895,5,-1,Sainte-Catherine,5,0,0.008627418,84.819,70,0.008627418,34,4,6863,0,6863.643,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260895
72,1260894,5,-1,Sainte-Catherine,5,0,0.003220458,71.425,71,0.003220458,34,4,7285,0,7285.341,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260894
73,1260891,5,-1,Sainte-Catherine,5,0,0.006263667,166.054,72,0.006263667,34,4,8275,0,8275.513,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260891
74,1080649,0,0,43e,5,0,-0.011803979,61.003,73,-0.011803979,34,1,1830,0,1830.842,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080649
75,1080648,0,0,43e,5,0,-0.005586564,71.608,74,-0.005586564,34,1,2197,0,2197.008,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080648
76,1080647,0,0,43e,5,0,0.000270914,36.924,75,0.000270914,34,1,2749,0,2749.332,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080647
77,1080646,0,0,43e,5,0,-0.000487334,143.652,76,-0.000487334,34,1,2522,0,2522.021,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080646
78,1080586,0,1,24e,5,0,-0.006860407,248.137,77,-0.006860407,42,1,1259,0,1259.763,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080586
79,1080585,0,1,24e,5,0,-0.003962719,247.893,78,-0.003962719,34,1,1636,0,1636.286,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080585
80,1060222,0,-1,De Martigny,5,0,-0.02207524,265.482,79,-0.02207524,34,1,1913,0,1913.609,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060222
81,1080584,0,1,24e,5,0,0.001024938,238.437,80,0.001024938,34,1,2102,0,2102.549,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080584
82,1080581,0,1,24e,5,0,0.001545529,245.896,81,0.001545529,34,1,2406,0,2406.043,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080581
83,1080580,0,1,24e,5,0,-0.000324912,277.026,82,-0.000324912,34,1,2170,0,2170.158,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080580
84,1070434,7,-1,Saint-Michel,5,0,-0.00671261,230.931,83,-0.00671261,42,3,10888,0,10888.526,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070434
85,1070433,7,-1,Saint-Michel,5,0,0.007957986,38.958,84,0.007957986,42,3,11395,0,11395.25,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070433
86,1070432,7,-1,Saint-Michel,5,0,0.007886893,226.981,85,0.007886893,50,3,10898,0,10898.7,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070432
87,1070431,7,-1,Saint-Michel,5,0,0.005299109,275.545,86,0.005299109,42,3,10788,0,10788.178,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070431
88,1090279,5,0,Villeray,5,0,-0.002249354,76.846,87,-0.002249354,42,1,4553,1,4553.183,0,1,1,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090279
89,1090278,5,0,Villeray,5,0,-0.003612339,76.734,88,-0.003612339,42,1,3689,1,3689.93,0,1,1,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090278
90,1080645,0,0,42e,5,0,-0.011843862,57.419,89,-0.011843862,34,1,860,0,860.3,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080645
91,1080582,0,0,24e,6,0,0.004355951,42.622,90,0.004355951,42,1,1499,0,-8888,-8888,-8888,-8888,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080582
92,1120107,0,1,De Gaspé,5,0,0.000648302,200.173,91,0.000648302,34,1,1721,0,1721.113,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120107
93,1120109,0,1,De Gaspé,5,0,-0.001761902,158.799,92,-0.001761902,34,1,1863,0,1863.47,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120109
