,cyclist_id,origin,destination
1212,1867,30067,25426
1213,1868,18607,10820
1214,1870,20724,19805
1215,1871,30961,21744
1216,1873,19806,26034
1217,1874,11732,27001
1218,1875,16112,26025
1219,1878,26093,17270
1220,1881,25774,31245
1221,1882,22825,24609
1222,1883,24077,22254
1223,1884,21953,25434
1224,1889,25738,22233
1225,1890,22251,26332
1226,1893,23109,26071
1227,1896,18912,19186
1228,1897,24366,25191
1229,1898,27942,27959
1230,1899,17871,17531
1231,1902,10528,18607
1232,1903,29452,29456
1233,1904,19161,17603
1234,1905,23239,22306
1235,1906,17217,27751
1236,1907,14178,15375
1237,1908,24038,24369
1238,1909,24312,15129
1239,1910,27751,17216
1240,1912,15808,20427
1241,1914,26361,12081
1242,1915,26903,13729
1243,1917,22248,29109
1244,1918,15129,14806
1245,1919,28425,29729
1246,1921,28821,29750
1247,1922,27840,22273
1248,1923,21439,30656
1249,1925,29448,28820
1250,1926,25726,30067
1251,1928,26025,16111
1252,1931,26943,26697
1253,1932,29083,27604
1254,1933,29746,29738
1255,1934,22903,25826
1256,1935,19476,17573
1257,1936,24611,22825
1258,1937,25824,22903
1259,1939,19810,16414
1260,1941,25712,29038
1261,1944,20098,16114
1262,1945,16301,16300
1263,1946,16889,15074
1264,1948,24379,23180
1265,1949,25228,24373
1266,1950,27950,27949
1267,1951,16110,20740
1268,1952,24063,15216
1269,1953,15827,20115
1270,1954,11050,10730
1271,1955,19167,26681
1272,1956,17275,25739
1273,1958,21606,25187
1274,1959,25426,24072
1275,1960,22885,22463
1276,1961,17909,21388
1277,1963,28139,24888
1278,1964,25201,26365
1279,1965,16114,19475
1280,1966,22179,22581
1281,1968,26048,15808
1282,1969,24610,22547
1283,1970,25783,27100
1284,1972,29032,25710
1285,1973,1925,2237
1286,1975,30067,25194
1287,1977,30073,18165
1288,1978,30487,28788
1289,1979,23500,27249
1290,1980,21051,26034
1291,1981,22586,18921
1292,1982,16676,17502
