,cyclist_id,origin,destination
950,1502,24836,20983
951,1504,20725,22522
952,1505,20650,16921
953,1506,21366,20395
954,1507,27047,28226
955,1508,24366,24889
956,1509,25424,24072
957,1510,28226,26396
958,1511,26394,28226
959,1512,28226,26394
960,1514,23855,22582
961,1517,26245,29021
962,1518,16923,28787
963,1519,20711,25489
964,1522,24610,22547
965,1524,18877,23521
966,1525,29741,29741
967,1528,29426,29741
968,1529,24105,27918
969,1530,28514,27278
970,1531,23533,24597
971,1532,30963,21744
972,1533,16368,13032
973,1535,22558,26001
974,1536,29107,28143
975,1537,20398,27639
976,1539,16112,26025
977,1540,22522,24373
978,1541,24674,24957
979,1542,27288,24597
980,1544,24646,25424
981,1545,26709,24889
982,1546,22008,23855
983,1547,27918,21964
984,1548,24886,20099
985,1549,22547,24609
986,1550,24932,17871
987,1552,23182,29810
988,1553,24631,28396
989,1554,14768,5636
990,1555,24373,20429
991,1557,25171,27795
992,1559,23776,17580
993,1560,5636,3916
994,1561,25415,14616
995,1562,28095,23533
996,1563,25490,15489
997,1565,31409,27278
998,1566,18242,25195
999,1568,24611,22825
1000,1569,21744,30961
1001,1570,17918,24869
1002,1571,27830,26085
1003,1572,24876,27621
1004,1575,22235,21366
1005,1577,26001,22561
1006,1578,26085,27231
1007,1579,26362,27231
1008,1580,26118,24401
1009,1581,27225,26085
1010,1582,12081,12087
1011,1584,16275,26343
1012,1585,20711,22235
1013,1586,25199,26365
1014,1587,25721,24070
1015,1588,23855,22008
1016,1589,19154,19794
1017,1590,21684,24647
1018,1591,24932,21682
1019,1592,22582,23853
1020,1593,12082,12085
1021,1595,28107,28107
1022,1599,20111,29057
1023,1600,21605,25188
1024,1601,24631,25745
1025,1602,17538,25429
1026,1603,27226,18245
1027,1605,3911,3916
1028,1606,31408,27607
1029,1607,27605,26997
1030,1608,22825,24609
1031,1609,24645,25216
1032,1611,24366,26696
1033,1612,11733,12401
1034,1614,26997,31410
1035,1616,16118,19787
1036,1617,15356,16887
1037,1618,25260,25260
1038,1619,22249,21385
1039,1620,21953,21367
1040,1621,23785,21953
1041,1622,26369,20429
1042,1623,24153,22008
1043,1624,20732,27340
1044,1625,30912,27198
1045,1626,25431,22824
1046,1627,15816,16684
1047,1628,31914,18519
1048,1629,25216,25216
1049,1631,24025,27580
1050,1632,20102,27100
1051,1633,16887,14762
1052,1635,27626,26394
1053,1636,24610,27950
1054,1637,32978,24417
1055,1638,17269,26885
1056,1639,27305,25224
1057,1640,25224,25224
1058,1641,21398,27262
1059,1642,20711,27225
1060,1643,24280,17269
1061,1646,24072,22825
1062,1648,20728,21043
1063,1649,31624,27362
1064,1650,20417,18876
1065,1652,11738,13763
1066,1654,21694,21695
1067,1655,3008,4309
1068,1656,20421,25426
1069,1658,19161,20111
1070,1659,22824,24609
1071,1660,28820,29757
1072,1661,32153,32103
1073,1663,25820,27958
1074,1664,29757,28820
1075,1668,31102,26390
1076,1669,28836,26396
1077,1670,26086,18883
1078,1671,32099,27036
1079,1673,24969,25260
1080,1674,20429,21953
1081,1675,23775,15740
1082,1676,23775,15740
1083,1677,27776,30922
1084,1681,30922,30922
1085,1682,27226,11765
1086,1684,26080,10830
1087,1686,10830,24834
