stop,id_origine,start,length,purpose,liste_segm,n_coord,id,vertex_pos,vertex_ind,vertex_par,vertex_p_1,distance,angle,node_id,n,distance_2,feature_x,feature_y,nearest_x,nearest_y
2013/08/01 01:18:32.000,3432,2013/08/01 01:07:18.000,3126,Social,,3432,,0,0,0,0,0.000000000000000,221.451446321878734,23194,1,0.000000000000000,-73.585258349146201,45.531853426849899,-73.585258349146201,45.531853426849899
2013/08/01 01:18:32.000,3432,2013/08/01 01:07:18.000,3126,Social,,3432,,-1,571,0,571,0.035515171489217,113.974507486047457,19480,1,0.000000000000000,-73.607779745520205,45.541664144129399,-73.607779745520205,45.541664144129399
2013/08/01 07:00:41.000,3435,2013/08/01 06:34:33.000,8219,Domicile-travail,,3435,,0,0,0,0,0.000000000000000,109.001725780565991,30067,1,0.000000000000000,-73.537773750325101,45.555658718465999,-73.537773750325101,45.555658718465999
2013/08/01 07:00:41.000,3435,2013/08/01 06:34:33.000,8219,Domicile-travail,,3435,,-1,1454,0,1454,0.084944203771132,223.034774180187668,25192,1,0.000000000000000,-73.572795404022798,45.502818454982602,-73.572795404022798,45.502818454982602
2013/08/01 07:04:16.000,3436,2013/08/01 06:55:56.000,4366,Domicile-travail,,3436,,0,0,0,0,0.000000000000000,224.167977552936435,25794,1,0.000000000000000,-73.569673241562995,45.538063969427299,-73.569673241562995,45.538063969427299
2013/08/01 07:04:16.000,3436,2013/08/01 06:55:56.000,4366,Domicile-travail,,3436,,-1,462,0,462,0.046548820415212,113.226339259504243,26327,1,0.000000000000000,-73.564160806157403,45.509461661628400,-73.564160806157403,45.509461661628400
2013/08/01 07:10:21.000,3437,2013/08/01 06:43:09.000,10120,Commute,,3437,,0,0,0,0,0.000000000000000,106.520880078943065,21407,1,0.000000000000000,-73.595087377132003,45.556060180450601,-73.595087377132003,45.556060180450601
2013/08/01 07:10:21.000,3437,2013/08/01 06:43:09.000,10120,Commute,,3437,,-1,1002,0,1002,0.110553674716480,115.327487453232521,24870,1,0.000000000000000,-73.573197299296794,45.493996021791702,-73.573197299296794,45.493996021791702
2013/08/01 07:10:27.000,3438,2013/08/01 06:26:14.000,12533,Domicile-travail,,3438,,0,0,0,0,0.000000000000000,156.865140817310333,16414,1,0.000000000000000,-73.630483778155494,45.551859087108298,-73.630483778155494,45.551859087108298
2013/08/01 07:10:27.000,3438,2013/08/01 06:26:14.000,12533,Domicile-travail,,3438,,-1,2386,0,2386,0.140843997281640,134.518734578306947,23720,1,0.000000000000000,-73.580923603162901,45.487927510310797,-73.580923603162901,45.487927510310797
2013/07/29 09:26:33.000,3441,2013/07/29 05:49:54.000,50472,Sport,,3441,,0,0,0,0,0.000000000000000,314.359968351661109,1925,1,0.000000000000000,-73.875651817155997,45.468915944658903,-73.875651817155997,45.468915944658903
2013/07/29 09:26:33.000,3441,2013/07/29 05:49:54.000,50472,Sport,,3441,,-1,6302,0,6302,0.572320712056895,314.359968351661109,1925,1,0.000000000000000,-73.875651817155997,45.468915944658903,-73.875651817155997,45.468915944658903
2013/08/01 07:23:19.000,3443,2013/08/01 07:01:01.000,7291,Domicile-travail,,3443,,0,0,0,0,0.000000000000000,41.769454590508779,19798,1,0.000000000000000,-73.605705932887290,45.538607510087097,-73.605705932887290,45.538607510087097
2013/08/01 07:23:19.000,3443,2013/08/01 07:01:01.000,7291,Domicile-travail,,3443,,-1,1247,0,1247,0.081553605056493,44.516524878721505,24602,1,0.000000000000000,-73.575022598950596,45.497886807569799,-73.575022598950596,45.497886807569799
