stop,id_origine,start,length,purpose,liste_segm,n_coord,id,vertex_pos,vertex_index,vertex_part,vertex_part_index,distance,angle,node_id,n,distance_2,feature_x,feature_y,nearest_x,nearest_y
2013/07/31 06:51:16.000,3205,2013/07/31 06:16:42.000,11862,Exercise,,3205,,-2,1670,0,1670,0.130565796791612,351.560913303863,21960,1,29.7213229894362,297534.178692831,5042546.67739458,297549.030429495,5042572.42196601
2013/07/31 06:55:24.000,3206,2013/07/31 06:28:41.000,9511,Domicile-travail,,3206,,1,1,0,1,0.000545116866205792,215.962049838909,24469,1,13.8608935317014,298689.356009744,5051506.01252934,298682.947570505,5051493.72203399
2013/07/31 06:55:24.000,3206,2013/07/31 06:28:41.000,9511,Domicile-travail,,3206,,-2,1072,0,1072,0.0996314138081294,211.735602643127,27032,1,12.1522666412768,299976.776226118,5044819.44853103,299976.792285,5044807.296275
2013/07/31 07:19:15.000,3207,2013/07/31 07:09:13.000,4874,Domicile-travail,,3207,,1,1,0,1,0.000110809302079872,205.853886896603,25794,1,9.52653970730001,299352.659631369,5044232.38130532,299357.439429495,5044240.62196601
2013/07/31 07:19:15.000,3207,2013/07/31 07:09:13.000,4874,Domicile-travail,,3207,,-2,581,0,581,0.0522820245897414,114.16955662258,26327,1,43.9758960878021,299746.890585802,5041086.56689436,299784.256356011,5041063.37899551
2013/07/31 07:20:20.000,3208,2013/07/31 06:54:07.000,9908,Commute,,3208,,1,1,0,1,0.00112244975451309,128.988777027064,21701,1,74.0058180032157,297465.838194769,5046205.25784608,297414.556570505,5046151.90003399
2013/07/31 07:20:20.000,3208,2013/07/31 06:54:07.000,9908,Commute,,3208,,-2,924,0,924,0.107919243246123,101.753560921898,24872,1,8.71362179866941,298978.575078637,5039398.1593466,298983.310429495,5039405.47396601
2013/07/31 07:19:00.000,3209,2013/07/31 06:57:06.000,8431,Commute,,3209,,1,1,0,1,0.000952360734613796,227.841785106648,21049,1,10.0785292517859,297151.575305349,5043552.4386915,297159.217966011,5043545.8685705
2013/07/31 07:19:00.000,3209,2013/07/31 06:57:06.000,8431,Commute,,3209,,-2,1113,0,1113,0.0914785496942219,227.355262033632,11587,1,14.1310929704887,291723.569872769,5039335.08521822,291733.769821011,5039325.3051955
2013/07/22 20:11:33.000,3211,2013/07/22 19:21:47.000,4541,Magasinage,,3211,,1,1,0,1,9.92779232602582e-05,356.458374649131,21365,1,6.0490991916477,297324.869081556,5042537.93091622,297329.395966011,5042533.9185705
2013/07/22 20:11:33.000,3211,2013/07/22 19:21:47.000,4541,Magasinage,,3211,,-2,526,0,526,0.0464864759697746,109.756061012936,20710,1,8.01086448547891,296984.382921586,5042742.30101688,296988.837559495,5042748.95910601
2013/07/31 07:26:53.000,3212,2013/07/31 07:19:42.000,2361,Autres,,3212,,1,1,0,1,0.000178253780197101,65.5361037053278,20725,1,14.7824327336406,297046.285371419,5043950.41820533,297038.774570505,5043937.68603399
2013/07/31 07:26:53.000,3212,2013/07/31 07:19:42.000,2361,Autres,,3212,,-2,364,0,364,0.0222597392519097,295.156576942352,20427,1,0,296840.551189661,5045358.04622561,296840.551189661,5045358.04622561
2013/07/24 12:04:57.000,3213,2013/07/24 11:58:43.000,1388,Courses,,3213,,1,1,0,1,4.43384747896449e-05,175.311954464913,21034,1,1.71091091329183,297169.083973347,5042636.18871236,297167.55954056,5042636.96544966
2013/07/24 12:04:57.000,3213,2013/07/24 11:58:43.000,1388,Courses,,3213,,-2,200,0,200,0.0147047491595947,237.065344278007,19457,1,17.4506986364016,296372.248498745,5042351.11591326,296381.041044495,5042366.18966601
2013/07/29 07:48:31.000,3214,2013/07/29 07:38:49.000,2981,Domicile-travail,,3214,,1,1,0,1,0.000453012081409177,211.041094674487,21363,1,5.82202852601853,297263.165236255,5042427.5961054,297265.808381897,5042432.7835708
2013/07/29 07:48:31.000,3214,2013/07/29 07:38:49.000,2981,Domicile-travail,,3214,,-2,362,0,362,0.0316354435609291,183.160554337632,23752,1,8.74021596611292,298449.710053499,5040593.08343602,298454.205429495,5040600.57896601
2013/07/29 18:20:18.000,3215,2013/07/29 16:56:09.000,29673,Sport,,3215,,1,1,0,1,0.000862803914373026,120.747381373697,21034,1,70.7528004241229,297227.514256577,5042599.33323845,297168.225033989,5042637.9434295
2013/07/29 18:20:18.000,3215,2013/07/29 16:56:09.000,29673,Sport,,3215,,-2,3250,0,3250,0.339701397652041,195.995325833898,21364,1,18.2729668189399,297269.664609395,5042476.04284655,297284.799966011,5042465.8045705
2013/07/31 07:36:10.000,3216,2013/07/31 06:52:18.000,11104,Work-related,,3216,,1,1,0,1,0.000102286477006914,340.496451085337,30073,1,8.59518202561232,301756.842288288,5046727.77155631,301754.063033989,5046719.63811303
